Episode,Agent,Position,Total Reward
175,Agent_3,"(9, 9)",-3
176,Agent_0,"(9, 9)",-30
176,Agent_1,"(9, 9)",-14
176,Agent_2,"(9, 9)",-5
176,Agent_3,"(9, 9)",-4
177,Agent_0,"(9, 9)",-33
177,Agent_1,"(9, 9)",-9
177,Agent_2,"(9, 9)",-6
177,Agent_3,"(9, 9)",-4
178,Agent_0,"(9, 9)",-20
178,Agent_1,"(9, 9)",-2
178,Agent_2,"(9, 9)",-6
178,Agent_3,"(9, 9)",-19
179,Agent_0,"(9, 9)",-16
179,Agent_1,"(9, 9)",-11
179,Agent_2,"(9, 9)",-18
179,Agent_3,"(9, 9)",-6
180,Agent_0,"(9, 9)",0
180,Agent_1,"(9, 9)",-10
180,Agent_2,"(9, 9)",-23
180,Agent_3,"(9, 9)",-11
181,Agent_0,"(9, 9)",-16
181,Agent_1,"(9, 9)",-17
181,Agent_2,"(9, 9)",-8
181,Agent_3,"(9, 9)",-18
182,Agent_0,"(9, 9)",-8
182,Agent_1,"(9, 9)",-15
182,Agent_2,"(9, 9)",-19
182,Agent_3,"(9, 9)",-13
183,Agent_0,"(9, 9)",-7
183,Agent_1,"(9, 9)",-14
183,Agent_2,"(9, 9)",-15
183,Agent_3,"(9, 9)",-8
